Label,Nama File,Mean,Standard Deviation (std),Maximum,Minimum,Median,Skewness,Kurtosis,Q1 (25th Percentile),Q3 (75th Percentile),Interquartile Range (IQR),Mode,ZCR Mean,ZCR Median,ZCR STD,ZCR Skewness,ZCR Kurtosis,rmse Mean,rmse Median,rmse STD,rmse Skewness,rmse Kurtosis
YAF_sad,YAF_cause_sad.wav,-3.3624117e-05,0.039164852,0.18201928,-0.21973819,0.0011507573,-1.1077669990286245,3.1733709204422,-0.008655757643282413,0.020352385938167572,-0.039127655,0.029008143581449986,0.16145982654816513,0.04150390625,0.23661472302042208,1.194904844441993,1.6769269186663547,0.0015338869355520414,0.00022347888,0.0034901132,24.821351184084286,4.301594171031115
YAF_sad,YAF_cab_sad.wav,-3.2204898e-05,0.03895775,0.13923076,-0.18834332,0.0017927049,-1.2396462649296904,3.0103063207430187,-0.009425490163266659,0.02136280108243227,-0.010063614,0.03078829124569893,0.11661001352163461,0.041015625,0.19335496169077682,4.987220079486318,2.5159550430141446,0.0015177073841203352,0.00026168427,0.0033985805,24.93318256401004,4.4092633836552695
YAF_sad,YAF_dab_sad.wav,-3.702234e-05,0.04067534,0.13199846,-0.19614327,0.0016717247,-1.0526440270457775,2.318446810800613,-0.010620095068588853,0.022267743479460478,-0.059126288,0.03288783854804933,0.13013712565104166,0.034912109375,0.21392390666579833,3.3169675456259897,2.1882164377886455,0.0016544847893523295,0.00029773003,0.0034396872,18.961809633172688,3.848422274574932
YAF_sad,YAF_chat_sad.wav,-4.747366e-05,0.038800314,0.1291486,-0.18763405,0.0007068053,-1.0287075982600045,2.910163565130916,-0.010717334225773811,0.019414981827139854,-0.15199915,0.030132316052913666,0.1722103851010101,0.0419921875,0.23033482922112147,1.1582748563707348,1.5564156550498802,0.001505466753071405,0.00024307908,0.0033376536,24.953381468400384,4.402816520315002
YAF_sad,YAF_bone_sad.wav,-5.2189407e-05,0.044492543,0.15076342,-0.26409116,0.0016932434,-1.0498795936644192,3.073374534267659,-0.012213596375659108,0.02402582997456193,-0.07142776,0.03623942635022104,0.12630550986842104,0.02783203125,0.22560563301032174,3.549219453126934,2.2677545566232578,0.0019795892848708304,0.00037816114,0.004461017,43.65043315446369,5.330623488883419
YAF_sad,YAF_came_sad.wav,-1.6884424e-05,0.012290583,0.074108124,-0.052709855,-0.00025595195,0.8040947506160733,3.8192166403108976,-0.005829810863360763,0.004129976499825716,-0.021538626,0.009959787363186479,0.136677679614486,0.0380859375,0.21090199480614313,3.5981201943873025,2.1998466413178437,0.00015105874062316808,2.5160118e-05,0.00036426092,46.1188621185418,5.7265844545182105
YAF_sad,YAF_book_sad.wav,-4.24224e-05,0.022396244,0.05868419,-0.1060361,0.00035492447,-1.1453957350281918,2.830207204454034,-0.0030186043586581945,0.010943335248157382,-0.060737193,0.013961939606815577,0.12441845154494383,0.03076171875,0.20341890977450022,3.494584357046663,2.197850667649825,0.0005015935715918236,4.5111774e-05,0.0011033765,20.90882768736929,4.065221130599965
YAF_sad,YAF_check_sad.wav,-3.606664e-05,0.03709299,0.15972263,-0.19918263,0.000540341,-1.0777561413239543,3.3226177363106997,-0.006571289384737611,0.01705391611903906,-0.019207794,0.02362520550377667,0.16566138174019607,0.06396484375,0.21604284160273757,2.1186837351227004,1.7831558178453124,0.001375891218898392,0.0001513107,0.0031755387,22.182385254593065,4.162530859010071
YAF_sad,YAF_boat_sad.wav,-4.300331e-05,0.031922538,0.12444429,-0.18255891,0.00044469023,-1.0418896917935991,3.5271392385272673,-0.005293924012221396,0.012874830747023225,-0.0344209,0.01816875475924462,0.13801125919117646,0.05712890625,0.19358668344343097,3.6280689068818157,2.167332871922321,0.0010190503830052647,8.362702e-05,0.0023969878,23.26433670879009,4.194061616306102
YAF_sad,YAF_cheek_sad.wav,-3.3843273e-05,0.039143384,0.13565272,-0.2203469,0.00037607044,-0.9888686355390529,3.4853213816940807,-0.007579666213132441,0.01551904622465372,-0.09584841,0.023098712437786162,0.17673456101190477,0.05126953125,0.22044899611233001,1.2649647567088529,1.5465759330960296,0.0015322056969189275,0.00013769118,0.003589659,24.422347166732276,4.349167207180741
